iter	Passed	Remaining
326	704	1450
327	706	1446
328	707	1442
329	708	1438
330	709	1434
331	711	1430
332	712	1426
333	713	1422
334	714	1418
335	715	1414
336	716	1410
337	718	1406
338	719	1402
339	720	1398
340	721	1394
341	722	1390
342	724	1386
343	725	1383
344	726	1379
345	727	1375
346	729	1371
347	730	1368
348	731	1364
349	732	1360
350	733	1356
351	734	1352
352	735	1348
353	736	1344
354	738	1341
355	739	1337
356	740	1334
357	741	1330
358	743	1326
359	744	1323
360	745	1319
361	746	1315
362	747	1312
363	749	1308
364	750	1305
365	751	1301
366	752	1298
367	753	1294
368	755	1291
369	756	1288
370	757	1284
371	758	1281
372	760	1277
373	761	1274
374	762	1270
375	763	1267
376	764	1263
377	765	1260
378	767	1256
379	768	1253
380	769	1250
381	770	1246
382	771	1243
383	773	1240
384	774	1237
385	775	1234
386	777	1230
387	778	1227
388	779	1224
389	781	1221
390	782	1219
391	784	1216
392	785	1212
393	786	1210
394	788	1207
395	789	1203
396	790	1200
397	791	1197
398	792	1194
399	794	1191
400	795	1187
401	796	1184
402	797	1181
403	798	1178
404	799	1175
405	801	1172
406	802	1169
407	803	1166
408	804	1163
409	806	1160
410	807	1157
411	808	1153
412	809	1150
413	810	1147
414	812	1144
415	813	1141
416	814	1138
417	815	1135
418	817	1133
419	818	1129
420	819	1126
421	820	1123
422	821	1120
423	822	1117
424	824	1114
425	825	1111
426	826	1108
427	827	1105
428	828	1103
429	830	1100
430	831	1097
431	832	1095
432	834	1092
433	835	1089
434	836	1086
435	837	1083
436	839	1081
437	840	1078
438	841	1075
439	842	1072
440	844	1069
441	845	1067
442	846	1064
443	848	1061
444	849	1059
445	850	1056
446	851	1053
447	852	1051
448	854	1048
449	855	1045
450	856	1043
451	858	1040
452	859	1037
453	860	1034
454	861	1032
